SERIAL,PERSON NUMBERS,PERSON 1 DESCRIPTION,RELATIONSHIP DESCRIPTION,HOUSEHOLD DESCRIPTION,OTHER PERSON DESCRIPTIONS
1110062,"1,2,3",I am a 55-year-old woman. I was born in Colorado. I am a Management analyst. I made $193K last year. I studied Biology in college. I drive to work. I leave for work at around 8:02 AM. It takes me about 30 minutes to get to work.,I live with my father and my sister.,"We live in Oklahoma. We live in a house built in the 2000s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 1,100 - 1,199.","2: My sister is 57-year-old. She was born in Indiana. She is a Residential advisor. She made $11.8K last year. | 3: My father is 81-year-old. He was born in Illinois. He works as a Pharmacist. He made $45.9K last year. He studied Pharmacy, Pharmaceutical Sciences, and Administration."
99027,"1,2,3",I am a 55-year-old woman. I was born in Mexico. I am a Financial manager. I made $203K last year. I studied Multi-disciplinary or General Science in college. I drive to work. I leave for work at around 8:02 AM. It takes me about 45 minutes to get to work.,I live with my daughter and my female roommate.,"We live in the Los Angeles-Long Beach-Anaheim, California area. We live in a 3-4 family home built in the 1970s with 2 bedrooms. We rent.",2: My daughter is 24-year-old. She was born in Mexico. She is a Childcare worker. She made $12.9K last year. she leaves for work at around 9:47 AM. It takes her about 9 minutes to get to work. | 3: My female roommate is 65-year-old. She was born in Texas. she have been looking for work. She is a Wholesale and retail buyer. She made $13.5K last year.
205991,"1,2,3",I am a 86-year-old woman. I was born in California. I made $16.8K last year.,I live with my son and my daughter.,"We live in the Los Angeles-Long Beach-Anaheim, California area. We live in a house built before 1939 with 3 bedrooms. We own our home. our annual property taxes are $4700 - 4799.",2: My daughter is 66-year-old. She was born in California. She made $16K last year. | 3: My son is 61-year-old. He was born in California. he have been looking for work. He works as a Industrial truck and tractor operator. He did not have personal income last year.
1081704,"1,2",I am a 62-year-old woman. I was born in Pennsylvania. I am a Elementary and middle school teacher. I made $107.3K last year. I studied General Education in college. I drive to work. I leave for work at around 7:02 AM. It takes me about 50 minutes to get to work.,I live with my female roommate.,"We live in the Columbus, Ohio area. We live in a house built around 1990 with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $4500-4599 ($4501+ 1990 U.S. Samples).",2: My female roommate is 62-year-old. She was born in Maryland. She is a Elementary and middle school teacher. She made $99K last year. She studied General Education. she leaves for work at around 8:02 AM. It takes her about 50 minutes to get to work.
430328,"1,2,3,4",I am a 50-year-old woman. I was born in North Carolina. I am a Medical assistant. I made $88.2K last year. I drive to work. I leave for work at around 7:17 AM. It takes me about 30 minutes to get to work.,"I live with my son, my mother, and my sister.","We live in the Atlanta-Sandy Springs-Roswell, Georgia area. We live in a house built in the 2000s with 5 bedrooms. We rent.",2: My son is 17-year-old. He was born in Georgia. He did not have personal income last year. | 3: My sister is 40-year-old. She was born in North Carolina. She did not have personal income last year. She studied Biology. | 4: My mother is 71-year-old. She was born in Georgia. She is a Maid and housekeeping cleaner. She made $11.8K last year.
1191919,"1,2,3",I am a 86-year-old woman. I was born in Pennsylvania. I made $18K last year.,I live with my daughter and my grandson.,"We live in the Philadelphia-Camden-Wilmington, PA-NJ-DE-MD area. We live in a attached house built in the 1960s with 2 bedrooms. We own our home. our annual property taxes are $ 3,000 - 3,099.",2: My daughter is 57-year-old. She was born in Pennsylvania. She is a Tutor. She made $180 last year. | 3: My grandson is 32-year-old. He was born in Pennsylvania. He works as a Automotive service technician and mechanic. He made $30K last year. he leaves for work at around 8:02 AM. It takes him about 40 minutes to get to work.
140678,"1,2,3,4",I am a 89-year-old woman. I was born in Alabama. I made $66.3K last year.,I live with 2 granddaughters and my sister.,"We live in the Los Angeles-Long Beach-Anaheim, California area. We live in a house built in the 1980s with 5 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 2,000 - 2,099.","2: My sister is 81-year-old. She was born in Alabama. She made $5.7K last year. | 3: My granddaughter is 46-year-old. She was born in California. She is a Loan interviewer and clerk. She did not have personal income last year. | 4: My granddaughter is 20-year-old. She has trouble with her hearing. She was born in California. She is a Educational, guidance, and career counselor and advisor. She did not have personal income last year."
377654,"1,2,3",I am a 57-year-old man. I was born in Massachusetts. I am a truck driver. I made $60K last year. I drive to work. I leave for work at around 3:05 PM. It takes me about 15 minutes to get to work.,I live with my female partner and another male non-relative.,"We live in the Palm Bay-Melbourne-Titusville, Florida area. We live in a house built in the 1960s with 4 bedrooms. We rent.",2: My female partner is 62-year-old. She was born in Massachusetts. She did not have personal income last year. | 3: My other non-relatives is 65-year-old. He was born in Pennsylvania. He works as a Cook. He made $20.8K last year.
1265833,"1,2",I am a 61-year-old woman. I was born in Wisconsin. I am a Public safety telecommunicator. I made $18K last year.,I live with my male roommate.,We live in Tennessee. We live in a house built in the 1970s with 4 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 250 - 299.,"2: My male roommate is 66-year-old. He was born in Florida. He works as a Carpet, floor, and tile installer and finisher. He made $51K last year."
1476370,"1,2,3,4,5","I am a 67-year-old woman. I was born in Arizona. I am a Educational, guidance, and career counselor and advisor. I made $55K last year. I studied General Education in college.",I live with my daughter and 3 grandsons.,"We live in Washington. We live in a house built in the 1950s with 4 bedrooms. We own our home. our annual property taxes are $ 1,700 - 1,799.",2: My daughter is 44-year-old. She was born in Washington. She is a Elementary and middle school teacher. She made $76K last year. She studied Studio Arts. she leaves for work at around 7:02 AM. It takes her about 20 minutes to get to work. | 3: My grandson is 17-year-old. He was born in Washington. He works as a Construction laborer. He made $280 last year. | 4: My grandson is 14-year-old. He was born in Washington. | 5: My grandson is 12-year-old. He was born in Washington.
160683,"1,2",I am a 73-year-old woman. I was born in California. I am a Home health aide. I made $61.2K last year.,I live with another male relative.,"We live in the Los Angeles-Long Beach-Anaheim, California area. We live in a house built in the 1960s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 1,600 - 1,699.",2: My other relatives is 51-year-old. He has trouble with his vision. He was born in Texas. He works as a truck driver. He made $17.9K last year.
155038,"1,2,3,4",I am a 82-year-old woman. I have trouble with my vision and hearing. I was born in Pennsylvania. I made $56K last year.,I live with 2 sons and my daughter.,"We live in the Riverside-San Bernardino-Ontario, California area. We live in a house built in the 1950s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 1,400 - 1,499.","2: My daughter is 64-year-old. She was born in Arizona. She made $19K last year. | 3: My son is 63-year-old. He was born in Arizona. He works as a Shipping, receiving, and inventory clerk. He did not have personal income last year. | 4: My son is 61-year-old. He was born in Arizona. He did not have personal income last year."
524277,"1,2,3",I am a 65-year-old woman. I have trouble with my vision. I was born in Ohio. I made $15.3K last year.,I live with my daughter and another male non-relative.,We live in Indiana. We live in a house built in the 1980s with 2 bedrooms. We rent.,"2: My daughter is 44-year-old. She was born in Indiana. She is a Stocker and order filler. She did not have personal income last year. | 3: My other non-relatives is 43-year-old. He was born in California. He works as a Laborer and freight, stock, and material mover, hand. He made $25.3K last year. he leaves for work at around 6:02 AM. It takes him about 25 minutes to get to work."
1177972,"1,2",I am a 61-year-old man. I am a veteran. I was born in Pennsylvania. I have been looking for work. I am a truck driver. I made $42.5K last year.,I live with my sister.,We live in Pennsylvania. We live in a house built before 1939 with 3 bedrooms. We rent. our rent is $500+ per month.,2: My sister is 60-year-old. She has trouble with her vision. She is a veteran. She was born in Pennsylvania. She is a Dental hygienist. She made $36.6K last year.
1291472,"1,2,3,4,5",I am a 42-year-old woman. I was born in North Carolina. I am a Wholesale and manufacturing sales representative. I made $106K last year. I drive to work. I leave for work at around 8:02 AM. It takes me about 25 minutes to get to work.,"I live with my daughter, my adopted son, my male partner, and another female non-relative.","We live in the Austin-Round Rock-San Marcos, Texas area. We live in a house built in the 1980s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $9000-9999 ($9100+ in 2000).",2: My male partner is 41-year-old. He was born in North Carolina. He works as a Retail salesperson. He made $60K last year. He studied Political Science and Government. he leaves for work at around 7:02 AM. It takes him about 25 minutes to get to work. | 3: My daughter is 12-year-old. She was born in Colorado. | 4: My adopted son is 8-year-old. He was born in Colorado. | 5: My other non-relatives is 40-year-old. She was born in Texas. she have been looking for work. She is a Real estate broker. She made $70K last year.
968618,"1,2,3",I am a 53-year-old woman. I was born in New York. I am a Rehabilitation counselor. I made $79.9K last year. I studied Elementary Education in college. I drive to work. I leave for work at around 7:52 AM. It takes me about 12 minutes to get to work.,I live with my daughter and my male partner.,"We live in the Rochester, New York area. We live in a house built in the 1960s with 4 bedrooms. We used a mortgage to buy our home. our annual property taxes are $5000 - 5499; We also have a 2nd mortgage.",2: My male partner is 52-year-old. He has trouble with his vision. He was born in New York. He works as a Business operations specialist. He made $58K last year. he leaves for work at around 7:52 AM. It takes him about 12 minutes to get to work. | 3: My daughter is 19-year-old. She was born in New York. She is a Cook. She made $8.2K last year. she leaves for work at around 7:12 AM. It takes her about 12 minutes to get to work.
248341,"1,2","I am a 71-year-old woman. I was born in South Dakota. I am a Education and childcare administrator. I made $39.1K last year. I studied French, German, Latin and Other Common Foreign Language Studies in college.",I live with another male relative.,"We live in the Denver-Aurora-Centennial, Colorado area. We live in a house built in the 1960s with 4 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 2,500 - 2,599.",2: My other relatives is 80-year-old. He was born in Colorado. He works as a Landscaping and groundskeeping worker. He made $28K last year.
1432434,"1,2",I am a 68-year-old man. I was born in New Mexico. I am a Automotive body and related repairer. I made $24K last year.,I live with my female partner.,"We live in the Virginia Beach-Chesapeake-Norfolk, VA-NC area. We live in a house built in the 1960s with 2 bedrooms. We own our home. our annual property taxes are $7000 - 7999.",2: My female partner is 65-year-old. She was born in Virginia. She is a Cook. She made $6K last year.
1361867,"1,2","I am a 68-year-old woman. I was born in Texas. I am a Bookkeeping, accounting, and auditing clerk. I made $84.5K last year. I drive to work. I leave for work at around 6:02 AM. It takes me about 10 minutes to get to work.",I live with my male partner.,"We live in the Houston-Pasadena-The Woodlands, Texas area. We live in a house built in the 2010s with 3 bedrooms. We own our home. our annual property taxes are $ 3,000 - 3,099.",2: My male partner is 65-year-old. He has trouble with his vision and hearing. He was born in Illinois. He works as a Sales worker. He made $2.5K last year. He studied General Agriculture.
118396,"1,2,3,4,5,6,7,8",I am a 66-year-old man. I was born in Philippines. I am a Computer numerically controlled tool operator and programmer. I made $49K last year. I studied Naval Architecture and Marine Engineering in college.,"I live with 2 brothers, my sister-in-law, 2 male relatives and another female relative, and another female non-relative.","We live in the Los Angeles-Long Beach-Anaheim, California area. We live in a house built before 1939 with 3 bedrooms. We own our home. our annual property taxes are $16000-16999.",2: My brother is 61-year-old. He has trouble with his vision. He was born in Philippines. He works as a Customer service representative. He made $33.2K last year. He studied Forestry. | 3: My brother is 56-year-old. He was born in Philippines. He works as a assembler and fabricator. He made $39.2K last year. he leaves for work at around 6:17 AM. It takes him about 10 minutes to get to work. | 4: My sister-in-law is 56-year-old. She was born in Philippines. She is a Elementary and middle school teacher. She made $67K last year. She studied Elementary Education. she leaves for work at around 7:02 AM. It takes her about 12 minutes to get to work. | 5: My other relatives is 31-year-old. He was born in Philippines. He works as a Postal service clerk. He made $31.5K last year. he leaves for work at around 5:02 AM. It takes him about 15 minutes to get to work. | 6: My other relatives is 31-year-old. She was born in Philippines. She is a Nursing assistant. She made $44.2K last year. she leaves for work at around 7:02 AM. It takes her about 10 minutes to get to work. | 7: My other relatives is 25-year-old. He was born in Philippines. he have been looking for work. He works as a Retail salesperson. He made $21.9K last year. | 8: My other non-relatives is 78-year-old. She was born in Philippines. She did not have personal income last year.
340236,"1,2,3,4",I am a 66-year-old man. I was born in New York. I am a manager. I made $65K last year. I studied Criminal Justice and Fire Protection in college. I drive to work. I leave for work at around 7:32 AM. It takes me about 3 minutes to get to work.,I live with my female partner and 2 male non-relatives.,"We live in the Jacksonville, Florida area. We live in a attached house built around 1990 with 5 bedrooms. We used a mortgage to buy our home. our home is worth about $1,000,000+; our annual property taxes are $4900 - 4999; We also have a 2nd mortgage.","2: My female partner is 41-year-old. She was born in Florida. She is a Bookkeeping, accounting, and auditing clerk. She made $58K last year. she leaves for work at around 9:02 AM. It takes her about 5 minutes to get to work. | 3: My other non-relatives is 16-year-old. He was born in Florida. He works as a Food preparation worker. He made $2.5K last year. he leaves for work at around 9:02 AM. It takes him about 6 minutes to get to work. | 4: My other non-relatives is 16-year-old. He was born in Florida. He works as a Food preparation worker. He made $2.5K last year. he leaves for work at around 7:32 AM. It takes him about 30 minutes to get to work."
1023237,"1,2",I am a 66-year-old woman. I have trouble with my hearing. I was born in North Carolina. I am a Retail supervisor. I made $22.8K last year.,I live with my daughter.,"We live in the Greensboro-High Point, North Carolina area. We live in a house built in the 1980s with 3 bedrooms. We own our home. our annual property taxes are $ 2,600 - 2,699.","2: My daughter is 40-year-old. She was born in North Carolina. she have been looking for work. She is a Hairdresser, hairstylist, and cosmetologist. She did not have personal income last year."
1518335,"1,2",I am a 74-year-old man. I was born in Wisconsin. I am a Printing press operator. I made $43.8K last year.,I live with my female partner.,We live in Wisconsin. We live in a house built in the 1960s with 5 bedrooms. We own our home.,2: My female partner is 63-year-old. She was born in Wisconsin. She is a Financial manager. She made $53.3K last year. She studied General Business.
399690,"1,2,3","I am a 59-year-old man. I have trouble with my vision. I was born in Puerto Rico. I am a Model maker, patternmaker, and molding machine setter, metal and plastic. I made $60.5K last year.",I live with my son and my mother.,"We live in the Atlanta-Sandy Springs-Roswell, Georgia area. We live in a house built in 2022 with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 300 - 349; We also have a 2nd mortgage.",2: My son is 35-year-old. He has trouble with his vision. He was born in Puerto Rico. He works as a Software developer. He made $35.6K last year. He studied Language and Drama Education. | 3: My mother is 92-year-old. She has trouble with her vision and hearing. She was born in Puerto Rico. She is a Childcare worker. She did not have personal income last year. She studied Counseling Psychology.
1175359,"1,2",I am a 65-year-old man. I moved last year. I was born in Pennsylvania. I am a Aircraft mechanics and service technician. I made $107K last year.,I live with my female partner.,"We live in the Pittsburgh, Pennsylvania area. We live in a house built in the 1940s with 3 bedrooms. We own our home. our annual property taxes are $ 3,000 - 3,099.",2: My female partner is 68-year-old. She was born in Pennsylvania. She is a Refuse and recyclable material collector. She made $25.5K last year.
343978,"1,2",I am a 58-year-old man. I moved from a different state last year. I was born in New York. I am a Police officer. I made $14K last year.,I live with my female partner.,"We live in the Miami-Fort Lauderdale-West Palm Beach, Florida area. We live in a 3-4 family home built in the 1980s with 2 bedrooms. We used a mortgage to buy our home. our annual property taxes are $18000-18999.",2: My female partner is 53-year-old. She was born in New York. She is a Social worker. She did not have personal income last year.
967821,"1,2,3",I am a 67-year-old man. I was born in Germany. I am a truck driver. I made $40K last year.,I live with my son and another female non-relative.,"We live in the New York-Newark-Jersey City, NY-NJ area. We live in a house built around 1990 with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $6000 - 6999.","2: My son is 34-year-old. He was born in New York. He works as a Laborer and freight, stock, and material mover, hand. He made $21K last year. He studied Physical Fitness, Parks, Recreation, and Leisure. he leaves for work at around 5:32 AM. It takes him about 20 minutes to get to work. | 3: My other non-relatives is 59-year-old. She was born in Germany. She is a Office clerk. She made $51K last year."
1257346,"1,2,3,4",I am a 72-year-old man. I was born in Tennessee. I made $16.9K last year. I studied Elementary Education in college.,I live with my female partner and 2 female relatives.,We live in Tennessee. We live in a house built in the 1980s with 3 bedrooms. We own our home. our annual property taxes are $ 600 - 649.,2: My female partner is 51-year-old. She was born in Tennessee. She made $910 last year. | 3: My other relatives is 27-year-old. She was born in Tennessee. She is a File clerk. She did not have personal income last year. | 4: My other relatives is 0-year-old. She was born in Tennessee.
115074,"1,2,3",I am a 71-year-old woman. I was born in Tennessee. I made $342.3K last year. I studied English Language and Literature in college.,I live with 2 sons.,"We live in the Riverside-San Bernardino-Ontario, California area. We live in a house built in the 2000s with 5 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 250 - 299.",2: My son is 49-year-old. He was born in California. he have been looking for work. He works as a Retail salesperson. He made $3K last year. | 3: My son is 45-year-old. He was born in California. He works as a Artist. He made $5K last year. he leaves for work at around 8:02 AM. It takes him about 60 minutes to get to work.
281418,"1,2,3",I am a 65-year-old man. I was born in Massachusetts. I have been looking for work. I am a Construction equipment operator. I made $12.6K last year. I studied Geology and Earth Science in college.,I live with my female partner and my male roommate.,"We live in the Hartford-West Hartford-East Hartford, Connecticut area. We live in a house built in the 1970s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 2,000 - 2,099.",2: My female partner is 61-year-old. She was born in Connecticut. She is a Cashier. She made $17.4K last year. | 3: My male roommate is 80-year-old. He has trouble with his vision and hearing. He is a veteran. He was born in New Hampshire. He made $24.8K last year.
1205055,"1,2,3,4",I am a 58-year-old man. I was born in Rhode Island. I am a truck driver. I did not have personal income last year.,I live with 2 daughters and my female partner.,"We live in the Providence-Warwick, RI-MA area. We live in a house built around 1990 with 3 bedrooms. We own our home. our annual property taxes are $7000 - 7999.",2: My female partner is 57-year-old. She was born in Rhode Island. She is a Nursing assistant. She did not have personal income last year. | 3: My daughter is 26-year-old. She was born in Rhode Island. She is a Landscaping and groundskeeping worker. She made $28.2K last year. | 4: My daughter is 23-year-old. She was born in Rhode Island. She is a Paralegal and legal assistant. She made $45K last year. She studied Elementary Education. she leaves for work at around 4:05 PM. It takes her about 75 minutes to get to work.
887220,"1,2,3",I am a 73-year-old woman. I was born in New York. I am a Electrician. I made $42K last year. I studied General Education in college. I drive to work. I leave for work at around 7:32 AM. It takes me about 30 minutes to get to work.,I live with my son and my male partner.,"We live in the Santa Fe, New Mexico area. We live in a attached house built before 1939 with 2 bedrooms. We own our home. our annual property taxes are $ 600 - 649.",2: My male partner is 73-year-old. He was born in Connecticut. He works as a Electrician. He made $25K last year. he leaves for work at around 7:47 AM. It takes him about 30 minutes to get to work. | 3: My son is 29-year-old. He was born in New Mexico. He works as a Water and wastewater treatment plant and system operator. He made $1K last year. he leaves for work at around 10:05 AM.
1349561,"1,2",I am a 68-year-old woman. I was born in Texas. I am a Retail salesperson. I made $60K last year. I studied Family and Consumer Sciences in college.,I live with my son.,"We live in the Dallas-Fort Worth-Arlington, Texas area. We live in a house built in the 2000s with 4 bedrooms. We own our home. our annual property taxes are $5000 - 5499.",2: My son is 40-year-old. He was born in Texas. He works as a Chef and head cook. He made $4.2K last year. he leaves for work at around 3:05 AM. It takes him about 20 minutes to get to work.
745895,"1,2,3",I am a 56-year-old woman. I was born in SOUTH AMERICA. I am a Customer service representative. I made $35K last year. I drive to work. I leave for work at around 7:02 AM. It takes me about 50 minutes to get to work.,I live with my son and another male non-relative.,"We live in the Minneapolis-St. Paul-Bloomington, MN-WI area. We live in a house built in the 2010s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 3,700 - 3,799; We also have a 2nd mortgage.",2: My son is 22-year-old. He was born in Florida. he have been looking for work. He works as a Furniture finisher. He made $25K last year. | 3: My other non-relatives is 30-year-old. He was born in SOUTH AMERICA. He works as a Painting worker. He made $30K last year. he leaves for work at around 7:02 AM. It takes him about 15 minutes to get to work.
716553,"1,2",I am a 79-year-old woman. I was born in Kansas. I am a Clergy. I made $83K last year. I studied Microbiology in college.,I live with my male partner.,"We live in Michigan. We live in a house built before 1939 with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 2,500 - 2,599.",2: My male partner is 75-year-old. He was born in Ohio. He works as a Clergy. He made $57.7K last year. He studied Philosophy and Religious Studies.
429062,"1,2",I am a 59-year-old woman. I was born in Georgia. I am a Cashier. I made $21.3K last year.,I live with my daughter.,We live in Georgia. We live in a mobile home or trailer built around 1990 with 3 bedrooms. We own our home. our annual property taxes are $ 250 - 299.,2: My daughter is 40-year-old. She was born in Georgia. she have been looking for work. She is a Bill and account collector. She made $29.5K last year.
328340,"1,2,3,4,5","I am a 34-year-old woman. I was born in Cuba. I am a Bookkeeping, accounting, and auditing clerk. I made $65K last year. I drive to work. I leave for work at around 7:02 AM. It takes me about 30 minutes to get to work.","I live with my daughter, my mother, my male partner, and another female relative.","We live in the Miami-Fort Lauderdale-West Palm Beach, Florida area. We live in a house built in the 1960s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $8000-8999 ($8000-9099 in 2000).",2: My male partner is 37-year-old. He was born in Cuba. He works as a Administrative assistant. He made $85K last year. He studied Computer and Information Systems. he leaves for work at around 7:32 AM. It takes him about 40 minutes to get to work. | 3: My daughter is 2-year-old. She was born in Florida. | 4: My mother is 56-year-old. She was born in Cuba. She is a Janitor and building cleaner. She made $30K last year. She studied Accounting. she leaves for work at around 7:02 AM. It takes her about 30 minutes to get to work. | 5: My other relatives is 33-year-old. She was born in Cuba. She did not have personal income last year.
99428,"1,2,3",I am a 79-year-old man. I was born in California. I made $76.8K last year.,I live with my female roommate and another male non-relative.,"We live in the Sacramento-Roseville-Folsom, California area. We live in a house built in the 1950s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $8000-8999 ($8000-9099 in 2000).",2: My female roommate is 51-year-old. She has trouble with her vision and hearing. She was born in California. She is a Cashier. She did not have personal income last year. | 3: My other non-relatives is 74-year-old. He is a veteran. He was born in California. He made $13K last year.
669814,"1,2,3,4",I am a 31-year-old woman. I was born in China. I am a Supervisor of personal care and service worker. I made $80K last year. I drive to work. I leave for work at around 12:05 PM. It takes me about 25 minutes to get to work.,I live with my male partner and another male relative and another female relative.,"We live in the Boston-Cambridge-Newton, MA-NH area. We live in a house built in the 1950s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $4500-4599 ($4501+ 1990 U.S. Samples).","2: My male partner is 34-year-old. He was born in China. He works as a Supervisor of personal care and service worker. He made $80K last year. he leaves for work at around 12:05 PM. It takes him about 25 minutes to get to work. | 3: My other relatives is 67-year-old. He was born in China. He works as a Packer and packager, hand. He did not have personal income last year. | 4: My other relatives is 58-year-old. She was born in China. She is a Nursing assistant. She made $25K last year. she leaves for work at around 8:32 AM. It takes her about 25 minutes to get to work."
718614,"1,2",I am a 68-year-old woman. I was born in Michigan. I am a Court reporter and simultaneous captioner. I made $42.2K last year.,I live with another male non-relative.,"We live in the Detroit-Warren-Dearborn, Michigan area. We live in a house built in the 2000s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $5000 - 5499; We also have a 2nd mortgage.",2: My other non-relatives is 71-year-old. He was born in Michigan. He works as a Retail salesperson. He made $27K last year.
867199,"1,2,3,4,5",I am a 47-year-old man. I was born in New Jersey. I am a Automotive service technician and mechanic. I made $20K last year. I drive to work. I leave for work at around 8:52 AM. It takes me about 10 minutes to get to work.,"I live with my daughter, my stepson, my female partner, and another male non-relative.","We live in the New York-Newark-Jersey City, NY-NJ area. We live in a house built in the 1940s with 3 bedrooms. We used a mortgage to buy our home. our annual property taxes are $9000-9999 ($9100+ in 2000).",2: My female partner is 49-year-old. She was born in SOUTH AMERICA. She is a Project management specialist. She did not have personal income last year. | 3: My daughter is 17-year-old. She was born in New Jersey. She did not have personal income last year. | 4: My stepson is 17-year-old. He was born in SOUTH AMERICA. He did not have personal income last year. | 5: My other non-relatives is 50-year-old. He was born in SOUTH AMERICA. He works as a Packaging and filling machine operator and tender. He made $35K last year. he leaves for work at around 8:02 AM. It takes him about 20 minutes to get to work.
1263766,"1,2,3,4,5",I am a 80-year-old man. I have trouble with my hearing. I am a veteran. I was born in Texas. I made $70K last year. I studied General Engineering in college.,I live with my adopted daughter and another male relative and 2 female relatives.,"We live in the Memphis, TN-MS-AR area. We live in a house built in the 1960s with 4 bedrooms. We own our home. our annual property taxes are $ 1,200 - 1,299.","2: My adopted daughter is 51-year-old. She was born in Texas. She is a Personal care aide. She made $11K last year. she leaves for work at around 6:32 AM. It takes her about 60 minutes to get to work. | 3: My other relatives is 55-year-old. She was born in Texas. She is a Laborer and freight, stock, and material mover, hand. She made $46K last year. She studied Psychology. | 4: My other relatives is 19-year-old. He was born in Tennessee. he have been looking for work. He works as a Cleaner of vehicles and equipment. He did not have personal income last year. | 5: My other relatives is 15-year-old. She was born in Texas. She did not have personal income last year."
338716,"1,2",I am a 67-year-old man. I was born in New York. I am a Software developer. I made $83.3K last year. I studied History in college.,I live with my female partner.,"We live in the Miami-Fort Lauderdale-West Palm Beach, Florida area. We live in a 20-49 family building built in the 1970s with 2 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 1,100 - 1,199.",2: My female partner is 56-year-old. She was born in Other USSR/Russia. She is a life scientist. She made $60K last year. She studied Biology.
132887,"1,2",I am a 56-year-old woman. I am a veteran. I was born in California. I am a Customer service representative. I made $196K last year. I studied Electrical Engineering in college. I drive to work. I leave for work at around 8:02 AM. It takes me about 75 minutes to get to work.,I live with my male partner.,"We live in the Los Angeles-Long Beach-Anaheim, California area. We live in a 3-4 family home built in the 1980s with 1 bedrooms. We rent.",2: My male partner is 69-year-old. He was born in California. He works as a Construction manager. He made $64K last year.
36634,"1,2",I am a 69-year-old woman. I was born in Pennsylvania. I am a Cook. I made $30K last year.,I live with my male partner.,"We live in the Phoenix-Mesa-Chandler, Arizona area. We live in a house built in the 2000s with 4 bedrooms. We used a mortgage to buy our home. our annual property taxes are $ 1,000 - 1,099.",2: My male partner is 63-year-old. He was born in Alabama. He works as a Janitor and building cleaner. He made $24K last year. He studied Chemistry.
1423112,"1,2",I am a 67-year-old woman. I was born in Germany. I am a Financial manager. I made $177K last year. I studied Accounting in college.,I live with my male roommate.,"We live in the Richmond, Virginia area. We live in a house built in the 1970s with 3 bedrooms. We own our home. our annual property taxes are $ 3,400 - 3,499.",2: My male roommate is 83-year-old. He is a veteran. He was born in Missouri. He works as a manager. He made $89.5K last year. He studied History.
1104759,"1,2,3,4",I am a 76-year-old woman. I was born in Texas. I made $66.4K last year.,I live with my son and another male non-relative and another female non-relative.,"We live in the Oklahoma City, Oklahoma area. We live in a house built in the 1970s with 3 bedrooms. We own our home. our annual property taxes are $ 2,200 - 2,299.",2: My son is 59-year-old. He was born in Oklahoma. he have been looking for work. He works as a Food preparation worker. He made $3K last year. | 3: My other non-relatives is 45-year-old. He was born in Colorado. he have been looking for work. He works as a Janitor and building cleaner. He did not have personal income last year. He studied Communication Technologies. | 4: My other non-relatives is 42-year-old. She was born in California. she have been looking for work. She made $3.5K last year.
1014175,"1,2,3",I am a 69-year-old man. I was born in North Carolina. I am a Small engine mechanic. I made $19K last year.,I live with my female roommate and another male non-relative.,We live in North Carolina. We live in a house built in the 1940s with 2 bedrooms.,2: My female roommate is 65-year-old. She was born in North Carolina. She is a Maid and housekeeping cleaner. She made $10K last year. | 3: My other non-relatives is 37-year-old. He was born in North Carolina. he have been looking for work. He works as a Industrial truck and tractor operator. He did not have personal income last year.
677730,"1,2,3,4,5,6",I am a 65-year-old woman. I was born in Portugal. I did not have personal income last year.,I live with my daughter and 2 male non-relatives and 2 female non-relatives.,"We live in the Providence-Warwick, RI-MA area. We live in a 2-family home built before 1939 with 2 bedrooms. We rent.",2: My daughter is 45-year-old. She was born in Massachusetts. She is a Pharmacy technician. She made $80K last year. she leaves for work at around 6:02 AM. It takes her about 30 minutes to get to work. | 3: My other non-relatives is 60-year-old. She was born in Massachusetts. She did not have personal income last year. | 4: My other non-relatives is 59-year-old. He was born in Massachusetts. He works as a Janitor and building cleaner. He made $47K last year. he leaves for work at around 8:02 AM. It takes him about 30 minutes to get to work. | 5: My other non-relatives is 46-year-old. He was born in Massachusetts. He works as a Network and computer systems administrator. He did not have personal income last year. | 6: My other non-relatives is 41-year-old. She was born in Massachusetts. She is a Cook. She made $7.5K last year.
